Expression	Value	Location	Type	
ADXL_DUR	0x70	0x200018B9	unsigned char	
ADXL_THRESH_TAP	0x20	0x200018B8	unsigned char	
voice_flag	'U' (0x55)	0x200018C5	unsigned char	
rx2_cnt	0x00	0x2000188B	unsigned char	
uart2_rx_buff	""	0x20001348	unsigned char[100]	
ADI_channels_init_flag	'\0' (0x00)	0x2000188F	unsigned char	
Time_2048ms_Counter	20	0x2000182C	unsigned short	
ADI_channels_wait_time	0	0x20001842	unsigned short	
led_display_start	0x55	0x200018A1	unsigned char	
cticks_s_page	39	0x200018A3	unsigned char	
temp_pt	61	0x20001824	unsigned short	
ADI_X1	1528	0x200017E4	unsigned long	
ADI_X2	1629	0x200017E8	unsigned long	
ADI_Y1	1543	0x200017EC	unsigned long	
ADI_Y2	1627	0x200017F0	unsigned long	
watch_data	<array>	0x20000A70	unsigned short[512]	
[0]	1208	0x20000A70	unsigned short	
[1]	1222	0x20000A72	unsigned short	
[2]	1237	0x20000A74	unsigned short	
[3]	1211	0x20000A76	unsigned short	
[4]	1309	0x20000A78	unsigned short	
[5]	1307	0x20000A7A	unsigned short	
[6]	1304	0x20000A7C	unsigned short	
[7]	1322	0x20000A7E	unsigned short	
[8]	1213	0x20000A80	unsigned short	
[9]	1211	0x20000A82	unsigned short	
[10]	1223	0x20000A84	unsigned short	
[11]	1226	0x20000A86	unsigned short	
[12]	1259	0x20000A88	unsigned short	
[13]	1260	0x20000A8A	unsigned short	
[14]	1241	0x20000A8C	unsigned short	
[15]	1256	0x20000A8E	unsigned short	
[16]	1232	0x20000A90	unsigned short	
[17]	1237	0x20000A92	unsigned short	
[18]	1236	0x20000A94	unsigned short	
[19]	1238	0x20000A96	unsigned short	
[20]	1294	0x20000A98	unsigned short	
[21]	1289	0x20000A9A	unsigned short	
[22]	1282	0x20000A9C	unsigned short	
[23]	1278	0x20000A9E	unsigned short	
[24]	1283	0x20000AA0	unsigned short	
[25]	1270	0x20000AA2	unsigned short	
[26]	1281	0x20000AA4	unsigned short	
[27]	1267	0x20000AA6	unsigned short	

[28]	1292	0x20000AA8	unsigned short	
[29]	1296	0x20000AAA	unsigned short	
[30]	1308	0x20000AAC	unsigned short	
